Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-26,422.0,425.1499938964844,421.1499938964844,424.20001220703125,3700655,0,0
2017-12-27,423.5,428.45001220703125,420.29998779296875,422.45001220703125,3673355,0,0
2017-12-28,423.5,423.70001220703125,416.0,418.6000061035156,5018893,0,0
2017-12-29,418.0,433.45001220703125,417.1499938964844,431.8500061035156,8640908,0,0
2018-01-01,430.95001220703125,436.3999938964844,422.25,424.45001220703125,6807536,0,0
2018-01-02,428.8500061035156,440.8500061035156,422.0,439.29998779296875,15331261,0,0
2018-01-03,440.3999938964844,441.3999938964844,431.95001220703125,433.8999938964844,9794953,0,0
2018-01-04,430.0,433.29998779296875,425.75,429.95001220703125,8395377,0,0
2018-01-05,431.25,436.3500061035156,429.79998779296875,431.6000061035156,7021611,0,0
2018-01-08,432.0,436.20001220703125,431.6499938964844,433.54998779296875,4635214,0,0
2018-01-09,434.25,443.5,433.0,437.54998779296875,12629045,0,0
2018-01-10,438.0,439.29998779296875,431.29998779296875,433.29998779296875,4702579,0,0
2018-01-11,433.5,437.6000061035156,432.8999938964844,434.75,4564895,0,0
2018-01-12,437.0,441.45001220703125,432.1000061035156,437.1000061035156,7408870,0,0
2018-01-15,438.04998779296875,440.04998779296875,431.04998779296875,432.3500061035156,4042775,0,0
2018-01-16,433.0,435.20001220703125,419.5,421.8999938964844,5623745,0,0
2018-01-17,422.04998779296875,424.5,410.1000061035156,422.95001220703125,10204447,0,0
2018-01-18,424.0,428.29998779296875,414.45001220703125,418.95001220703125,9579830,0,0
2018-01-19,415.20001220703125,421.95001220703125,415.04998779296875,418.04998779296875,3894062,0,0
2018-01-22,419.04998779296875,424.3999938964844,418.45001220703125,421.8999938964844,4643782,0,0
2018-01-23,422.79998779296875,422.79998779296875,414.75,418.0,6185011,0,0
2018-01-24,416.0,416.25,402.6499938964844,403.6000061035156,10789570,0,0
2018-01-25,403.45001220703125,407.6499938964844,398.0,400.29998779296875,16312167,0,0
2018-01-29,402.5,405.8999938964844,398.1000061035156,399.25,5789602,0,0
2018-01-30,400.0,402.29998779296875,395.0,395.8500061035156,6963005,0,0
2018-01-31,395.5,400.95001220703125,395.25,399.5,5111454,0,0
2018-02-01,399.8999938964844,403.79998779296875,390.54998779296875,393.6499938964844,7259426,0,0
2018-02-02,392.0,397.3999938964844,381.29998779296875,383.75,10070356,0,0
2018-02-05,381.0,398.0,380.0,395.79998779296875,9876017,0,0
2018-02-06,363.0,379.8500061035156,356.5,375.45001220703125,25294860,0,0
2018-02-07,380.3999938964844,385.3999938964844,375.20001220703125,377.79998779296875,12706795,0,0
2018-02-08,379.8999938964844,380.0,372.20001220703125,374.8500061035156,12452396,0,0
2018-02-09,369.8999938964844,373.20001220703125,368.0,368.75,8816777,0,0
2018-02-12,373.3999938964844,376.20001220703125,370.20001220703125,371.79998779296875,6002369,0,0
2018-02-14,372.8999938964844,382.29998779296875,370.6000061035156,376.8500061035156,9623436,0,0
2018-02-15,379.79998779296875,382.20001220703125,373.1000061035156,375.79998779296875,10225880,0,0
2018-02-16,378.0,379.3999938964844,367.6000061035156,370.75,8545282,0,0
2018-02-19,373.70001220703125,374.70001220703125,362.79998779296875,368.75,5658765,0,0
2018-02-20,370.3500061035156,370.8999938964844,366.5,369.29998779296875,3972114,0,0
2018-02-21,372.5,372.5,362.8500061035156,364.45001220703125,8640166,0,0
2018-02-22,363.0,363.0,357.5,358.5,10870704,0,0
2018-02-23,360.1000061035156,364.6000061035156,358.75,360.20001220703125,6751064,0,0
2018-02-26,362.0,373.5,362.0,372.04998779296875,10576794,0,0
2018-02-27,375.0,376.6000061035156,370.3500061035156,372.54998779296875,6156672,0,0
2018-02-28,370.0,373.6499938964844,367.1499938964844,369.8999938964844,8009429,0,0
2018-03-01,369.75,376.29998779296875,369.04998779296875,370.75,6991806,0,0
2018-03-05,368.75,368.75,350.1000061035156,352.04998779296875,14665325,0,0
2018-03-06,355.1499938964844,357.95001220703125,345.0,346.5,8876632,0,0
2018-03-07,345.0,355.29998779296875,343.25,347.79998779296875,15599393,0,0
2018-03-08,350.79998779296875,351.8999938964844,341.04998779296875,345.1499938964844,7674221,0,0
2018-03-09,345.54998779296875,348.70001220703125,340.1499938964844,341.5,5519224,0,0
2018-03-12,345.0,353.79998779296875,340.3500061035156,352.6000061035156,8238960,0,0
2018-03-13,352.6000061035156,356.45001220703125,350.0,353.1499938964844,6184241,0,0
2018-03-14,351.0,354.8999938964844,349.6000061035156,354.04998779296875,3820313,0,0
2018-03-15,354.04998779296875,358.3999938964844,351.1000061035156,353.1000061035156,4331145,0,0
2018-03-16,352.04998779296875,352.6000061035156,338.3999938964844,339.75,14205582,0,0
2018-03-19,341.20001220703125,342.1000061035156,332.54998779296875,335.70001220703125,9391347,0,0
2018-03-20,335.5,340.3999938964844,333.54998779296875,338.79998779296875,5080453,0,0
2018-03-21,339.8999938964844,342.25,332.25,333.8500061035156,6812442,0,0
2018-03-22,338.5,340.25,334.79998779296875,338.20001220703125,9255091,0,0
2018-03-23,330.0,334.79998779296875,329.6000061035156,330.8500061035156,8578297,0,0
2018-03-26,328.79998779296875,333.8999938964844,324.29998779296875,332.3500061035156,8907023,0,0
2018-03-27,333.95001220703125,335.79998779296875,330.1000061035156,331.1499938964844,6822448,0,0
2018-03-28,331.5,333.6499938964844,325.20001220703125,326.8500061035156,10975624,0,0
2018-04-02,335.0,340.79998779296875,332.70001220703125,339.1499938964844,9874486,0,0
2018-04-03,338.3999938964844,344.5,337.1499938964844,343.1000061035156,6989584,0,0
2018-04-04,346.79998779296875,363.70001220703125,346.25,355.6000061035156,27157199,0,0
2018-04-05,362.6000061035156,372.3500061035156,359.79998779296875,362.20001220703125,28886070,0,0
2018-04-06,362.0,368.3500061035156,356.45001220703125,364.1000061035156,13297051,0,0
2018-04-09,361.8999938964844,368.6000061035156,357.0,358.29998779296875,9555113,0,0
2018-04-10,360.5,362.3500061035156,351.5,353.25,8201215,0,0
2018-04-11,355.0,357.1499938964844,350.5,355.79998779296875,5622957,0,0
2018-04-12,358.0,364.3999938964844,357.0,358.3999938964844,13145938,0,0
2018-04-13,357.8999938964844,361.0,354.3999938964844,357.04998779296875,5935628,0,0
2018-04-16,350.79998779296875,352.79998779296875,337.54998779296875,339.1499938964844,19157051,0,0
2018-04-17,342.29998779296875,344.20001220703125,332.6000061035156,336.45001220703125,14241074,0,0
2018-04-18,338.20001220703125,339.75,333.3999938964844,334.79998779296875,6699271,0,0
2018-04-19,336.5,337.0,332.5,334.25,7087115,0,0
2018-04-20,335.95001220703125,343.25,334.6000061035156,336.0,11908652,0,0
2018-04-23,335.95001220703125,339.5,333.0,334.04998779296875,8056732,0,0
2018-04-24,334.79998779296875,335.0,330.6000061035156,331.54998779296875,9210931,0,0
2018-04-25,330.79998779296875,334.0,327.75,328.6000061035156,6306039,0,0
2018-04-26,329.8999938964844,335.95001220703125,326.0,330.25,16647689,0,0
2018-04-27,333.0,337.6499938964844,331.04998779296875,336.8999938964844,8804236,0,0
2018-04-30,338.5,342.75,337.25,340.3999938964844,5937740,0,0
2018-05-02,349.20001220703125,351.6499938964844,335.0,336.04998779296875,16022148,0,0
2018-05-03,335.5,335.8999938964844,329.1499938964844,333.5,6870513,0,0
2018-05-04,333.75,337.29998779296875,329.5,334.3999938964844,6660062,0,0
2018-05-07,337.8500061035156,337.8500061035156,333.70001220703125,335.1499938964844,3888627,0,0
2018-05-08,336.29998779296875,336.6000061035156,330.25,332.1499938964844,8114997,0,0
2018-05-09,331.0,347.25,331.0,341.95001220703125,19019847,0,0
2018-05-10,343.75,343.75,332.75,333.6000061035156,11158000,0,0
2018-05-11,334.0,334.0,330.0,330.79998779296875,7365579,0,0
2018-05-14,333.0,333.0,323.0,323.6000061035156,8312976,0,0
2018-05-15,324.0,324.04998779296875,305.70001220703125,310.1000061035156,15323964,0,0
2018-05-16,309.95001220703125,315.75,306.70001220703125,310.25,12051269,0,0
2018-05-17,313.1000061035156,319.5,309.29998779296875,314.8999938964844,10214660,0,0
2018-05-18,314.75,315.0,303.5,304.6000061035156,11688577,0,0
2018-05-21,304.75,307.20001220703125,294.70001220703125,295.8999938964844,11549490,0,0
2018-05-22,296.54998779296875,312.5,296.54998779296875,307.70001220703125,17199292,0,0
2018-05-23,311.1000061035156,317.25,305.3999938964844,309.45001220703125,17698475,0,0
2018-05-24,300.0,307.6499938964844,284.1000061035156,288.6499938964844,46104103,0,0
2018-05-25,290.3999938964844,297.45001220703125,286.25,294.1499938964844,19240172,0,0
2018-05-28,293.75,299.8999938964844,290.29998779296875,296.29998779296875,8516862,0,0
2018-05-29,296.79998779296875,300.0,293.0,294.6499938964844,9816561,0,0
2018-05-30,289.95001220703125,292.25,286.1499938964844,288.8999938964844,11649429,0,0
2018-05-31,289.95001220703125,290.8500061035156,281.6000061035156,282.5,28771987,0,0
2018-06-01,284.5,290.3500061035156,283.04998779296875,287.20001220703125,15840810,0,0
2018-06-04,292.5,293.8500061035156,286.0,286.6499938964844,10835487,0,0
2018-06-05,286.6499938964844,288.25,283.6000061035156,284.95001220703125,7456195,0,0
2018-06-06,286.8500061035156,296.8999938964844,285.25,295.6499938964844,19754001,0,0
2018-06-07,296.29998779296875,306.8999938964844,295.25,305.3999938964844,22839023,0,0
2018-06-08,305.70001220703125,315.54998779296875,302.3999938964844,309.95001220703125,27249374,0,0
2018-06-11,310.8999938964844,313.8999938964844,306.6499938964844,309.75,14650133,0,0
2018-06-12,310.95001220703125,313.6499938964844,307.20001220703125,307.79998779296875,7932388,0,0
2018-06-13,309.20001220703125,311.25,307.0,308.3999938964844,7280886,0,0
2018-06-14,308.5,309.6000061035156,303.79998779296875,305.8999938964844,6532693,0,0
2018-06-15,305.75,307.6499938964844,300.54998779296875,302.95001220703125,8224497,0,0
2018-06-18,302.8999938964844,311.0,302.1000061035156,308.79998779296875,8787098,0,0
2018-06-19,309.6000061035156,312.79998779296875,303.29998779296875,305.04998779296875,10498362,0,0
2018-06-20,304.8999938964844,308.25,304.04998779296875,305.6000061035156,6607472,0,0
2018-06-21,307.8999938964844,308.5,305.5,307.0,5085379,0,0
2018-06-22,306.8500061035156,308.8999938964844,303.20001220703125,308.0,6033095,0,0
2018-06-25,306.29998779296875,306.29998779296875,287.6000061035156,289.3999938964844,16392183,0,0
2018-06-26,288.3999938964844,288.3999938964844,275.1000061035156,276.8500061035156,30728620,0,0
2018-06-27,278.5,279.5,270.0,271.04998779296875,19077416,0,0
2018-06-28,272.0,272.6499938964844,261.8500061035156,263.3500061035156,19507165,0,0
2018-06-29,265.45001220703125,270.5,262.6499938964844,269.29998779296875,14765516,0,0
2018-07-02,276.0,276.04998779296875,265.6000061035156,266.70001220703125,16495647,0,0
2018-07-03,269.5,271.5,267.20001220703125,269.45001220703125,11484332,0,0
2018-07-04,270.0,271.5,265.6499938964844,267.04998779296875,7394858,0,0
2018-07-05,263.5,263.75,252.5500030517578,261.54998779296875,20820454,0,0
2018-07-06,262.0,272.5,261.8500061035156,270.8500061035156,19215897,0,0
2018-07-09,274.6000061035156,277.0,272.04998779296875,273.5,9387556,0,0
2018-07-10,274.8999938964844,276.8999938964844,272.8999938964844,275.45001220703125,6351033,0,0
2018-07-11,276.3999938964844,276.3999938964844,267.1000061035156,267.79998779296875,7356582,0,0
2018-07-12,269.6000061035156,272.0,265.5,266.1000061035156,8573517,0,0
2018-07-13,267.29998779296875,269.3999938964844,262.70001220703125,263.6000061035156,8352827,0,0
2018-07-16,260.5,260.79998779296875,250.5,252.10000610351562,11067012,0,0
2018-07-17,253.0,259.0,252.3000030517578,257.95001220703125,6350966,0,0
2018-07-18,259.45001220703125,259.45001220703125,247.3000030517578,251.85000610351562,9348644,0,0
2018-07-19,254.0,257.8500061035156,251.1999969482422,252.5,9556686,0,0
2018-07-20,252.6999969482422,254.0,251.0,253.39999389648438,6422014,0,0
